"iso3","year","ari","E","lari","type"
"BWA",1982,0.013,1.39482088162918,-4.3428059215206,"TST survey"
"BWA",1957,0.0579,0.280381067423334,-2.84903789440319,"TST survey"
"BDI",1983.5,0.0117,1.38607452148047,-4.44816643717843,"TST survey"
"BDI",1964.6,0.0266,1.80468962368386,-3.62684406319448,"TST survey"
"CMR",1984.5,0.0064,1.24271130812785,-5.05145728861651,"TST survey"
"CMR",1964.3,0.0132,1.32018521913694,-4.32753844938981,"TST survey"
"ETH",1983.9,0.013,0.727191668717627,-4.3428059215206,"TST survey"
"ETH",1977.5,0.0381,1.07199844997077,-3.26754099684948,"TST survey"
"GMB",1976.4,0.0192,0.451938453788867,-3.9528449999484,"TST survey"
"LSO",1982,0.0203,1.27328349451027,-3.8971343929344,"TST survey"
"LSO",1957,0.0278,0.400112373867453,-3.58271925828555,"TST survey"
"LSO",1963.8,0.0283,0.130186028997554,-3.56489347433295,"TST survey"
"TZA",1985.6,0.0111,0.173062270894393,-4.50081017066385,"TST survey"
"TZA",1979.5,0.0216,0.504772470069318,-3.83506196429202,"TST survey"
"TZA",1978.9,0.013,0.768362072432773,-4.3428059215206,"TST survey"
"TZA",1977.1,0.0092,1.65917641818163,-4.68855179492714,"TST survey"
"ARG",1976.5,0.0056,0.20771620560159,-5.18498868124103,"TST survey"
"ARG",1983.5,0.0026,2.87819798982611,-5.9522438339547,"TST survey"
"ARG",1980,0.0029,2.33425424861441,-5.84304454198971,"TST survey"
"ARG",1968,0.0131,0.661539133702826,-4.33514304877503,"TST survey"
"ARG",1980,0.0023,1.19675605865967,-6.07484615604703,"TST survey"
"ARG",1975,0.0023,0.920741838017392,-6.07484615604703,"TST survey"
"ARG",1968,0.0057,0.619880831395015,-5.16728910414163,"TST survey"
"ARG",1961,0.0053,1.0601805485718,-5.24004845842406,"TST survey"
"BRA",1983.5,0.0039,0.396936381416247,-5.54677872584654,"TST survey"
"BRA",1983.5,0.0056,0.597017585292561,-5.18498868124103,"TST survey"
"IND",1979.5,0.0099,0.220305578372085,-4.61522052184159,"TST survey"
"IND",1974.8,0.0104,0.251348330048751,-4.56594947283481,"TST survey"
"IND",1977.9,0.0097,0.415623146259961,-4.6356293934728,"TST survey"
"IND",1962.2,0.0084,0.193108640281554,-4.77952357313287,"TST survey"
"IND",1960.9,0.0166,0.199393490104701,-4.09835258361964,"TST survey"
"IND",1972.8,0.014,0.561774112599725,-4.26869794936688,"TST survey"
"IND",1969.9,0.017,0.0800777665798091,-4.07454193492592,"TST survey"
