"iso3","inc.num","inc.num.sd","e.pop.014"
"ABW",0.995,0.07053368,19484
"AFG",9638.757577,1136.405133,14191577
"AGO",4048.601037,843.3852604,11592947
"AIA",0.995,0.07053368,3666
"ALB",98.73054391,14.85324062,547028
"AND",0.995,0.07053368,10607
"ARE",11.84700519,2.51841991,1256956
"ARG",987.9419007,123.1106797,10893901
"ARM",104.3345697,11.97277525,561059
"ASM",0.995,0.07053368,16674
"ATG",0.827796483,0.079406034,22320
"AUS",131.7597661,18.56289199,4420125
"AUT",36.34372342,4.918337208,1216151
"AZE",709.6279051,79.64990848,2122060
"BDI",1621.828469,148.9555601,4828879
"BEL",1.073683489,0.103471627,1895945
"BEN",793.9441104,111.457449,4501150
"BES",0.995,0.07053368,6165
"BFA",345.3268423,34.19175131,8054765
"BGD",47564.62997,5609.461408,47685727
"BGR",161.08453,16.25236327,1006651
"BHR",1.065526889,0.102669997,288876
"BHS",1.29934236,0.136484162,80820
"BIH",91.68832289,18.61258167,520965
"BLR",544.784776,69.52408475,1498140
"BLZ",29.1185439,3.247832582,116391
"BMU",0.995,0.07053368,11699
"BOL",1561.107173,173.6949808,3473928
"BRA",9594.83754,847.8233931,48484052
"BRB",0.471625428,0.046472721,55084
"BRN",1.270828188,0.112349093,98236
"BTN",182.8801784,19.16795916,209888
"BWA",883.5772999,92.27238315,714777
"CAF",2235.353763,278.6074052,1892338
"CAN",1.103589207,0.105050348,5707179
"CHE",31.91077947,4.546874639,1212275
"CHL",279.2229496,33.46267207,3635019
"CHN",77290.91794,6433.632723,235609020
"CIV",1616.139571,156.374854,9466617
"CMR",1.208523779,0.109931996,9737804
"COD",8005.343193,871.9802038,34566728
"COG",541.650588,67.25230154,1919586
"COK",0.995,0.07053368,6234
"COL",1533.640097,180.0455146,11805193
"COM",1.104569405,0.104947598,311674
"CPV",9.465762474,1.134386701,154023
"CRI",42.15737493,5.423244479,1079896
"CUB",69.36040741,9.930214319,1884073
"CUW",0.995,0.07053368,29697
"CYM",0.995,0.07053368,15002
"CYP",1.029723336,0.09948193,193199
"CZE",1.063696527,0.102836568,1565399
"DEU",283.7009422,41.13715728,10465659
"DJI",1130.164559,147.2576835,289167
"DMA",0.99,0.099498744,18341
"DNK",1.061890998,0.102716526,963798
"DOM",235.9179257,26.69700375,3148325
"DZA",2696.238983,398.9763522,10981783
"ECU",945.3599819,166.1748037,4665549
"EGY",1214.821918,148.9284582,29545498
"ERI",385.2813908,73.49403213,2186517
"ESP",404.2248811,55.47406031,6880145
"EST",12.62426116,1.917036629,208258
"ETH",25733.25233,3547.608869,40791455
"FIN",27.59752788,4.156664443,894462
"FJI",71.33660087,11.12144285,255248
"FRA",1.085824669,0.104178632,11866582
"FSM",18.62194844,5.560638088,35957
"GAB",1174.827419,147.3145158,629357
"GBR",677.7219912,68.22510283,11388169
"GEO",371.0487319,31.36183249,694478
"GHA",1310.354046,326.5943713,10423855
"GIN",8521.037445,951.7200611,5246713
"GMB",1.187240337,0.108916491,893115
"GNB",809.0764525,164.9752305,737821
"GNQ",1.092761868,0.104488805,323625
